0.1	-6.88082E-4  -2.56946E-4
0.3	0.00322	0.0055
0.5	0.00893	0.00685
0.7	0.01612	0.01212
0.9	0.02417	0.0193
1.1	0.03847	0.03384
1.3	0.05292	0.04636
1.5	0.06933	0.06468
1.7	0.09152	0.0826
1.9	0.0994	0.09558
2.1	0.11052	0.11327
2.3	0.11803	0.12502
2.5	0.12643	0.13368
2.7	0.12695	0.13644
2.9	0.12391	0.13597
3.1	0.12156	0.13592
3.3	0.12038	0.13436
3.5	0.11571	0.1322
3.7	0.11029	0.13154
3.9	0.10572	0.1241
4.1	0.09996	0.11659
4.3	0.09224	0.11593
4.5	0.09012	0.10624
4.7	0.08287	0.09648
4.9	0.08167	0.09028
5.1	0.07267	0.08771
5.3	0.07203	0.08222
5.5	0.06742	0.07382
5.7	0.06388	0.07092
5.9	0.06047	0.06711
6.1	0.05406	0.06499
6.3	0.05549	0.06499
6.5	0.04699	0.05931
6.7	0.04747	0.06153
6.9	0.04224	0.04558
7.1	0.04359	0.05213
7.3	0.03934	0.04463
7.5	0.03643	0.04163
7.7	0.03748	0.0392
7.9	0.04111	0.03657
